,subjectId,duration,room,date,reasonsString,score,reasonsList,category,measure
331,Fundamentos de Economía y Empresa,2,3302,2022-03-04 02:51:31+00:00,Poca luz,1,['Poca luz'],Ambiente,luminosity
332,Fundamentos de Economía y Empresa,2,3302,2022-03-04 02:51:31+00:00,Con dolor de cuello,2,['Con dolor de cuello'],Estado físico,
332,Fundamentos de Economía y Empresa,2,3302,2022-03-04 02:51:31+00:00,Normal,3,['Normal'],Estado anímico,
332,Fundamentos de Economía y Empresa,2,3302,2022-03-04 02:51:31+00:00,Interesante,4,['Interesante'],Temario,
332,Fundamentos de Economía y Empresa,2,3302,2022-03-04 02:51:31+00:00,Mala organización,2,['Mala organización'],Docente,
332,Fundamentos de Economía y Empresa,2,3302,2022-03-04 02:51:31+00:00,Poca luz,2,['Poca luz'],Ambiente,luminosity
333,Fundamentos de Economía y Empresa,2,3301,2022-03-04 02:51:31+00:00,Enfermo/a,2,['Enfermo/a'],Estado físico,
333,Fundamentos de Economía y Empresa,2,3301,2022-03-04 02:51:31+00:00,Agobiado/a,2,['Agobiado/a'],Estado anímico,
333,Fundamentos de Economía y Empresa,2,3301,2022-03-04 02:51:31+00:00,Material adecuado,5,['Material adecuado'],Temario,
333,Fundamentos de Economía y Empresa,2,3301,2022-03-04 02:51:31+00:00,Creatividad,3,['Creatividad'],Docente,
333,Fundamentos de Economía y Empresa,2,3301,2022-03-04 02:51:31+00:00,Sin ruido,5,['Sin ruido'],Ambiente,noise
334,Fundamentos de Economía y Empresa,2,CIC-3,2022-03-04 02:51:31+00:00,Con dolor de espalda,3,['Con dolor de espalda'],Estado físico,
334,Fundamentos de Economía y Empresa,2,CIC-3,2022-03-04 02:51:31+00:00,Con ansiedad,3,['Con ansiedad'],Estado anímico,
334,Fundamentos de Economía y Empresa,2,CIC-3,2022-03-04 02:51:31+00:00,Temario bien estructurado,5,['Temario bien estructurado'],Temario,
334,Fundamentos de Economía y Empresa,2,CIC-3,2022-03-04 02:51:31+00:00,Creatividad,5,['Creatividad'],Docente,
334,Fundamentos de Economía y Empresa,2,CIC-3,2022-03-04 02:51:31+00:00,Sin ruido,4,['Sin ruido'],Ambiente,noise
335,Fundamentos de Economía y Empresa,2,3104,2022-03-04 02:51:31+00:00,Normal,4,['Normal'],Estado físico,
335,Fundamentos de Economía y Empresa,2,3104,2022-03-04 02:51:31+00:00,Aburrido/a,1,['Aburrido/a'],Estado anímico,
335,Fundamentos de Economía y Empresa,2,3104,2022-03-04 02:51:31+00:00,Interesante,3,['Interesante'],Temario,
335,Fundamentos de Economía y Empresa,2,3104,2022-03-04 02:51:31+00:00,Mala organización,3,['Mala organización'],Docente,
335,Fundamentos de Economía y Empresa,2,3104,2022-03-04 02:51:31+00:00,Ambiente agradable,5,['Ambiente agradable'],Ambiente,co2
336,Fundamentos de Economía y Empresa,2,3203,2022-03-04 02:51:31+00:00,Enérgico/a,5,['Enérgico/a'],Estado físico,
336,Fundamentos de Economía y Empresa,2,3203,2022-03-04 02:51:31+00:00,Estresado/a,2,['Estresado/a'],Estado anímico,
336,Fundamentos de Economía y Empresa,2,3203,2022-03-04 02:51:31+00:00,Poco práctico,1,['Poco práctico'],Temario,
336,Fundamentos de Economía y Empresa,2,3203,2022-03-04 02:51:31+00:00,Creatividad,4,['Creatividad'],Docente,
336,Fundamentos de Economía y Empresa,2,3203,2022-03-04 02:51:31+00:00,Sin ruido,5,['Sin ruido'],Ambiente,noise
337,Fundamentos de Economía y Empresa,2,CIC-4,2022-03-04 02:51:31+00:00,Con dolor de cuello,1,['Con dolor de cuello'],Estado físico,
337,Fundamentos de Economía y Empresa,2,CIC-4,2022-03-04 02:51:31+00:00,Normal,5,['Normal'],Estado anímico,
337,Fundamentos de Economía y Empresa,2,CIC-4,2022-03-04 02:51:31+00:00,Repetitivo,2,['Repetitivo'],Temario,
337,Fundamentos de Economía y Empresa,2,CIC-4,2022-03-04 02:51:31+00:00,Mala organización,1,['Mala organización'],Docente,
337,Fundamentos de Economía y Empresa,2,CIC-4,2022-03-04 02:51:31+00:00,Ambiente denso,1,['Ambiente denso'],Ambiente,co2
338,Fundamentos de Economía y Empresa,2,3203,2022-03-04 02:51:31+00:00,Enérgico/a,5,['Enérgico/a'],Estado físico,
338,Fundamentos de Economía y Empresa,2,3203,2022-03-04 02:51:31+00:00,Normal,4,['Normal'],Estado anímico,
338,Fundamentos de Economía y Empresa,2,3203,2022-03-04 02:51:31+00:00,Temario denso,1,['Temario denso'],Temario,
338,Fundamentos de Economía y Empresa,2,3203,2022-03-04 02:51:31+00:00,Buena organización,4,['Buena organización'],Docente,
338,Fundamentos de Economía y Empresa,2,3203,2022-03-04 02:51:31+00:00,Poca luz,1,['Poca luz'],Ambiente,luminosity
339,Fundamentos de Economía y Empresa,2,1001,2022-03-04 02:51:31+00:00,Normal,5,['Normal'],Estado físico,
339,Fundamentos de Economía y Empresa,2,1001,2022-03-04 02:51:31+00:00,Motivado/a,5,['Motivado/a'],Estado anímico,
339,Fundamentos de Economía y Empresa,2,1001,2022-03-04 02:51:31+00:00,Muy práctico,4,['Muy práctico'],Temario,
339,Fundamentos de Economía y Empresa,2,1001,2022-03-04 02:51:31+00:00,Poca paciencia,3,['Poca paciencia'],Docente,
339,Fundamentos de Economía y Empresa,2,1001,2022-03-04 02:51:31+00:00,Demasiado calor,2,['Demasiado calor'],Ambiente,temperature
340,Sistemas Basados en Computador,2,3104,2022-03-04 10:10:00+00:00,Normal,4,['Normal'],Estado físico,
340,Sistemas Basados en Computador,2,3104,2022-03-04 10:10:00+00:00,Agobiado/a,1,['Agobiado/a'],Estado anímico,
340,Sistemas Basados en Computador,2,3104,2022-03-04 10:10:00+00:00,Interesante,5,['Interesante'],Temario,
340,Sistemas Basados en Computador,2,3104,2022-03-04 10:10:00+00:00,Poca creatividad,1,['Poca creatividad'],Docente,
340,Sistemas Basados en Computador,2,3104,2022-03-04 10:10:00+00:00,Ambiente denso,2,['Ambiente denso'],Ambiente,co2
341,Sistemas Basados en Computador,2,CIC-4,2022-03-04 10:10:00+00:00,Con hambre o sed,2,['Con hambre o sed'],Estado físico,
341,Sistemas Basados en Computador,2,CIC-4,2022-03-04 10:10:00+00:00,Contento/a,5,['Contento/a'],Estado anímico,
341,Sistemas Basados en Computador,2,CIC-4,2022-03-04 10:10:00+00:00,Repetitivo,1,['Repetitivo'],Temario,
341,Sistemas Basados en Computador,2,CIC-4,2022-03-04 10:10:00+00:00,Buena organización,5,['Buena organización'],Docente,
341,Sistemas Basados en Computador,2,CIC-4,2022-03-04 10:10:00+00:00,Sin ruido,4,['Sin ruido'],Ambiente,noise
342,Sistemas Basados en Computador,2,CIC-4,2022-03-04 10:10:00+00:00,Enérgico/a,5,['Enérgico/a'],Estado físico,
342,Sistemas Basados en Computador,2,CIC-4,2022-03-04 10:10:00+00:00,Motivado/a,4,['Motivado/a'],Estado anímico,
342,Sistemas Basados en Computador,2,CIC-4,2022-03-04 10:10:00+00:00,Muy práctico,4,['Muy práctico'],Temario,
342,Sistemas Basados en Computador,2,CIC-4,2022-03-04 10:10:00+00:00,Creatividad,4,['Creatividad'],Docente,
342,Sistemas Basados en Computador,2,CIC-4,2022-03-04 10:10:00+00:00,Demasiado ruido,2,['Demasiado ruido'],Ambiente,noise
343,Sistemas Basados en Computador,2,3104,2022-03-04 10:10:00+00:00,Con dolor de cuello,1,['Con dolor de cuello'],Estado físico,
343,Sistemas Basados en Computador,2,3104,2022-03-04 10:10:00+00:00,Motivado/a,4,['Motivado/a'],Estado anímico,
343,Sistemas Basados en Computador,2,3104,2022-03-04 10:10:00+00:00,Temario denso,3,['Temario denso'],Temario,
343,Sistemas Basados en Computador,2,3104,2022-03-04 10:10:00+00:00,Explicaciones aburridas,1,['Explicaciones aburridas'],Docente,
343,Sistemas Basados en Computador,2,3104,2022-03-04 10:10:00+00:00,Temperatura perfecta,5,['Temperatura perfecta'],Ambiente,
344,Sistemas Basados en Computador,2,3203,2022-03-04 10:10:00+00:00,Con hambre o sed,1,['Con hambre o sed'],Estado físico,
344,Sistemas Basados en Computador,2,3203,2022-03-04 10:10:00+00:00,Cansado/a,3,['Cansado/a'],Estado anímico,
344,Sistemas Basados en Computador,2,3203,2022-03-04 10:10:00+00:00,Muy práctico,4,['Muy práctico'],Temario,
344,Sistemas Basados en Computador,2,3203,2022-03-04 10:10:00+00:00,Dinamismo,4,['Dinamismo'],Docente,
344,Sistemas Basados en Computador,2,3203,2022-03-04 10:10:00+00:00,Sin ruido,3,['Sin ruido'],Ambiente,noise
345,Sistemas Basados en Computador,2,3302,2022-03-04 10:10:00+00:00,Enérgico/a,5,['Enérgico/a'],Estado físico,
345,Sistemas Basados en Computador,2,3302,2022-03-04 10:10:00+00:00,Aburrido/a,1,['Aburrido/a'],Estado anímico,
345,Sistemas Basados en Computador,2,3302,2022-03-04 10:10:00+00:00,Temario bien estructurado,4,['Temario bien estructurado'],Temario,
345,Sistemas Basados en Computador,2,3302,2022-03-04 10:10:00+00:00,Poco dinamismo,2,['Poco dinamismo'],Docente,
345,Sistemas Basados en Computador,2,3302,2022-03-04 10:10:00+00:00,Sin ruido,4,['Sin ruido'],Ambiente,noise
346,Sistemas Basados en Computador,2,1001,2022-03-04 10:10:00+00:00,Normal,4,['Normal'],Estado físico,
346,Sistemas Basados en Computador,2,1001,2022-03-04 10:10:00+00:00,Aburrido/a,2,['Aburrido/a'],Estado anímico,
346,Sistemas Basados en Computador,2,1001,2022-03-04 10:10:00+00:00,Temario denso,2,['Temario denso'],Temario,
346,Sistemas Basados en Computador,2,1001,2022-03-04 10:10:00+00:00,Buena organización,4,['Buena organización'],Docente,
346,Sistemas Basados en Computador,2,1001,2022-03-04 10:10:00+00:00,Demasiado frío,3,['Demasiado frío'],Ambiente,temperature
347,Sistemas Basados en Computador,2,3104,2022-03-04 10:10:00+00:00,Enérgico/a,5,['Enérgico/a'],Estado físico,
347,Sistemas Basados en Computador,2,3104,2022-03-04 10:10:00+00:00,Triste,1,['Triste'],Estado anímico,
347,Sistemas Basados en Computador,2,3104,2022-03-04 10:10:00+00:00,Temario bien estructurado,4,['Temario bien estructurado'],Temario,
347,Sistemas Basados en Computador,2,3104,2022-03-04 10:10:00+00:00,Mala organización,2,['Mala organización'],Docente,
347,Sistemas Basados en Computador,2,3104,2022-03-04 10:10:00+00:00,Ambiente agradable,5,['Ambiente agradable'],Ambiente,co2
348,Sistemas Basados en Computador,2,3302,2022-03-04 10:10:00+00:00,Normal,5,['Normal'],Estado físico,
348,Sistemas Basados en Computador,2,3302,2022-03-04 10:10:00+00:00,Normal,4,['Normal'],Estado anímico,
348,Sistemas Basados en Computador,2,3302,2022-03-04 10:10:00+00:00,Muy práctico,5,['Muy práctico'],Temario,
348,Sistemas Basados en Computador,2,3302,2022-03-04 10:10:00+00:00,Mala organización,2,['Mala organización'],Docente,
348,Sistemas Basados en Computador,2,3302,2022-03-04 10:10:00+00:00,Temperatura perfecta,5,['Temperatura perfecta'],Ambiente,
349,Sistemas Basados en Computador,2,CIC-4,2022-03-04 10:10:00+00:00,Enfermo/a,3,['Enfermo/a'],Estado físico,
349,Sistemas Basados en Computador,2,CIC-4,2022-03-04 10:10:00+00:00,Estresado/a,2,['Estresado/a'],Estado anímico,
349,Sistemas Basados en Computador,2,CIC-4,2022-03-04 10:10:00+00:00,Material limitado,2,['Material limitado'],Temario,
349,Sistemas Basados en Computador,2,CIC-4,2022-03-04 10:10:00+00:00,Creatividad,4,['Creatividad'],Docente,
349,Sistemas Basados en Computador,2,CIC-4,2022-03-04 10:10:00+00:00,Demasiado ruido,2,['Demasiado ruido'],Ambiente,noise
350,Sistemas Basados en Computador,2,1001,2022-03-04 10:10:00+00:00,Enérgico/a,4,['Enérgico/a'],Estado físico,
350,Sistemas Basados en Computador,2,1001,2022-03-04 10:10:00+00:00,Triste,1,['Triste'],Estado anímico,
350,Sistemas Basados en Computador,2,1001,2022-03-04 10:10:00+00:00,Material limitado,2,['Material limitado'],Temario,
350,Sistemas Basados en Computador,2,1001,2022-03-04 10:10:00+00:00,Poco dinamismo,1,['Poco dinamismo'],Docente,
350,Sistemas Basados en Computador,2,1001,2022-03-04 10:10:00+00:00,Iluminación correcta,5,['Iluminación correcta'],Ambiente,luminosity
351,Sistemas Basados en Computador,2,3104,2022-03-04 10:10:00+00:00,Normal,5,['Normal'],Estado físico,
351,Sistemas Basados en Computador,2,3104,2022-03-04 10:10:00+00:00,Contento/a,5,['Contento/a'],Estado anímico,
351,Sistemas Basados en Computador,2,3104,2022-03-04 10:10:00+00:00,Material limitado,3,['Material limitado'],Temario,
351,Sistemas Basados en Computador,2,3104,2022-03-04 10:10:00+00:00,Poca paciencia,2,['Poca paciencia'],Docente,
351,Sistemas Basados en Computador,2,3104,2022-03-04 10:10:00+00:00,Iluminación correcta,3,['Iluminación correcta'],Ambiente,luminosity
352,Sistemas Basados en Computador,2,1001,2022-03-04 10:10:00+00:00,Enérgico/a,4,['Enérgico/a'],Estado físico,
352,Sistemas Basados en Computador,2,1001,2022-03-04 10:10:00+00:00,Agobiado/a,1,['Agobiado/a'],Estado anímico,
352,Sistemas Basados en Computador,2,1001,2022-03-04 10:10:00+00:00,Poco práctico,1,['Poco práctico'],Temario,
352,Sistemas Basados en Computador,2,1001,2022-03-04 10:10:00+00:00,Creatividad,4,['Creatividad'],Docente,
352,Sistemas Basados en Computador,2,1001,2022-03-04 10:10:00+00:00,Ambiente denso,2,['Ambiente denso'],Ambiente,co2
353,Sistemas Basados en Computador,2,3302,2022-03-04 10:10:00+00:00,Normal,5,['Normal'],Estado físico,
353,Sistemas Basados en Computador,2,3302,2022-03-04 10:10:00+00:00,Contento/a,5,['Contento/a'],Estado anímico,
353,Sistemas Basados en Computador,2,3302,2022-03-04 10:10:00+00:00,Material limitado,1,['Material limitado'],Temario,
353,Sistemas Basados en Computador,2,3302,2022-03-04 10:10:00+00:00,Paciencia,5,['Paciencia'],Docente,
353,Sistemas Basados en Computador,2,3302,2022-03-04 10:10:00+00:00,Ambiente agradable,5,['Ambiente agradable'],Ambiente,co2
354,Sistemas Basados en Computador,2,1001,2022-03-04 10:10:00+00:00,Enfermo/a,1,['Enfermo/a'],Estado físico,
354,Sistemas Basados en Computador,2,1001,2022-03-04 10:10:00+00:00,Triste,2,['Triste'],Estado anímico,
354,Sistemas Basados en Computador,2,1001,2022-03-04 10:10:00+00:00,Temario denso,2,['Temario denso'],Temario,
354,Sistemas Basados en Computador,2,1001,2022-03-04 10:10:00+00:00,Poca paciencia,1,['Poca paciencia'],Docente,
354,Sistemas Basados en Computador,2,1001,2022-03-04 10:10:00+00:00,Sin ruido,4,['Sin ruido'],Ambiente,noise
355,Sistemas Basados en Computador,2,CIC-3,2022-03-04 10:10:00+00:00,Con dolor de cabeza,3,['Con dolor de cabeza'],Estado físico,
355,Sistemas Basados en Computador,2,CIC-3,2022-03-04 10:10:00+00:00,Contento/a,5,['Contento/a'],Estado anímico,
355,Sistemas Basados en Computador,2,CIC-3,2022-03-04 10:10:00+00:00,Interesante,5,['Interesante'],Temario,
355,Sistemas Basados en Computador,2,CIC-3,2022-03-04 10:10:00+00:00,Explicaciones entretenidas,4,['Explicaciones entretenidas'],Docente,
355,Sistemas Basados en Computador,2,CIC-3,2022-03-04 10:10:00+00:00,Sin ruido,3,['Sin ruido'],Ambiente,noise
356,Sistemas Basados en Computador,2,1001,2022-03-04 10:10:00+00:00,Con hambre o sed,2,['Con hambre o sed'],Estado físico,
356,Sistemas Basados en Computador,2,1001,2022-03-04 10:10:00+00:00,Contento/a,3,['Contento/a'],Estado anímico,
356,Sistemas Basados en Computador,2,1001,2022-03-04 10:10:00+00:00,Temario bien estructurado,5,['Temario bien estructurado'],Temario,
356,Sistemas Basados en Computador,2,1001,2022-03-04 10:10:00+00:00,Poca cooperación,2,['Poca cooperación'],Docente,
356,Sistemas Basados en Computador,2,1001,2022-03-04 10:10:00+00:00,Demasiado ruido,1,['Demasiado ruido'],Ambiente,noise
357,Sistemas Basados en Computador,2,CIC-4,2022-03-04 10:10:00+00:00,Con dolor de cuello,2,['Con dolor de cuello'],Estado físico,
357,Sistemas Basados en Computador,2,CIC-4,2022-03-04 10:10:00+00:00,Triste,3,['Triste'],Estado anímico,
357,Sistemas Basados en Computador,2,CIC-4,2022-03-04 10:10:00+00:00,Repetitivo,1,['Repetitivo'],Temario,
357,Sistemas Basados en Computador,2,CIC-4,2022-03-04 10:10:00+00:00,Poca creatividad,3,['Poca creatividad'],Docente,
357,Sistemas Basados en Computador,2,CIC-4,2022-03-04 10:10:00+00:00,Poca luz,2,['Poca luz'],Ambiente,luminosity
358,Sistemas Basados en Computador,2,CIC-4,2022-03-04 10:10:00+00:00,Con dolor de cabeza,3,['Con dolor de cabeza'],Estado físico,
358,Sistemas Basados en Computador,2,CIC-4,2022-03-04 10:10:00+00:00,Cansado/a,3,['Cansado/a'],Estado anímico,
358,Sistemas Basados en Computador,2,CIC-4,2022-03-04 10:10:00+00:00,Muy práctico,5,['Muy práctico'],Temario,
358,Sistemas Basados en Computador,2,CIC-4,2022-03-04 10:10:00+00:00,Explicaciones aburridas,2,['Explicaciones aburridas'],Docente,
358,Sistemas Basados en Computador,2,CIC-4,2022-03-04 10:10:00+00:00,Ambiente agradable,4,['Ambiente agradable'],Ambiente,co2
359,Sistemas Basados en Computador,2,3104,2022-03-04 10:10:00+00:00,Con dolor de espalda,3,['Con dolor de espalda'],Estado físico,
359,Sistemas Basados en Computador,2,3104,2022-03-04 10:10:00+00:00,Triste,1,['Triste'],Estado anímico,
359,Sistemas Basados en Computador,2,3104,2022-03-04 10:10:00+00:00,Temario bien estructurado,5,['Temario bien estructurado'],Temario,
359,Sistemas Basados en Computador,2,3104,2022-03-04 10:10:00+00:00,Poca creatividad,1,['Poca creatividad'],Docente,
359,Sistemas Basados en Computador,2,3104,2022-03-04 10:10:00+00:00,Ambiente agradable,4,['Ambiente agradable'],Ambiente,co2
360,Sistemas Basados en Computador,2,1001,2022-03-04 10:10:00+00:00,Enfermo/a,1,['Enfermo/a'],Estado físico,
360,Sistemas Basados en Computador,2,1001,2022-03-04 10:10:00+00:00,Motivado/a,4,['Motivado/a'],Estado anímico,
360,Sistemas Basados en Computador,2,1001,2022-03-04 10:10:00+00:00,Temario denso,1,['Temario denso'],Temario,
360,Sistemas Basados en Computador,2,1001,2022-03-04 10:10:00+00:00,Poca cooperación,2,['Poca cooperación'],Docente,
360,Sistemas Basados en Computador,2,1001,2022-03-04 10:10:00+00:00,Ambiente denso,3,['Ambiente denso'],Ambiente,co2
361,Sistemas Basados en Computador,2,3104,2022-03-04 10:10:00+00:00,Con dolor de cabeza,2,['Con dolor de cabeza'],Estado físico,
361,Sistemas Basados en Computador,2,3104,2022-03-04 10:10:00+00:00,Cansado/a,2,['Cansado/a'],Estado anímico,
361,Sistemas Basados en Computador,2,3104,2022-03-04 10:10:00+00:00,Material limitado,2,['Material limitado'],Temario,
361,Sistemas Basados en Computador,2,3104,2022-03-04 10:10:00+00:00,Explicaciones aburridas,1,['Explicaciones aburridas'],Docente,
361,Sistemas Basados en Computador,2,3104,2022-03-04 10:10:00+00:00,Iluminación correcta,4,['Iluminación correcta'],Ambiente,luminosity
362,Sistemas Basados en Computador,2,1001,2022-03-04 10:10:00+00:00,Normal,5,['Normal'],Estado físico,
362,Sistemas Basados en Computador,2,1001,2022-03-04 10:10:00+00:00,Con ansiedad,2,['Con ansiedad'],Estado anímico,
362,Sistemas Basados en Computador,2,1001,2022-03-04 10:10:00+00:00,Material adecuado,3,['Material adecuado'],Temario,
362,Sistemas Basados en Computador,2,1001,2022-03-04 10:10:00+00:00,Poco dinamismo,2,['Poco dinamismo'],Docente,
362,Sistemas Basados en Computador,2,1001,2022-03-04 10:10:00+00:00,Iluminación correcta,4,['Iluminación correcta'],Ambiente,luminosity
363,Sistemas Basados en Computador,2,1001,2022-03-04 10:10:00+00:00,Con hambre o sed,2,['Con hambre o sed'],Estado físico,
363,Sistemas Basados en Computador,2,1001,2022-03-04 10:10:00+00:00,Motivado/a,4,['Motivado/a'],Estado anímico,
363,Sistemas Basados en Computador,2,1001,2022-03-04 10:10:00+00:00,Repetitivo,2,['Repetitivo'],Temario,
363,Sistemas Basados en Computador,2,1001,2022-03-04 10:10:00+00:00,Poco dinamismo,1,['Poco dinamismo'],Docente,
363,Sistemas Basados en Computador,2,1001,2022-03-04 10:10:00+00:00,Temperatura perfecta,3,['Temperatura perfecta'],Ambiente,
364,Sistemas Basados en Computador,2,CIC-3,2022-03-04 10:10:00+00:00,Con dolor de espalda,3,['Con dolor de espalda'],Estado físico,
364,Sistemas Basados en Computador,2,CIC-3,2022-03-04 10:10:00+00:00,Normal,4,['Normal'],Estado anímico,
364,Sistemas Basados en Computador,2,CIC-3,2022-03-04 10:10:00+00:00,Material adecuado,4,['Material adecuado'],Temario,
364,Sistemas Basados en Computador,2,CIC-3,2022-03-04 10:10:00+00:00,Poca creatividad,3,['Poca creatividad'],Docente,
364,Sistemas Basados en Computador,2,CIC-3,2022-03-04 10:10:00+00:00,Demasiado calor,2,['Demasiado calor'],Ambiente,temperature
365,Sistemas Basados en Computador,2,CIC-4,2022-03-04 10:10:00+00:00,Normal,4,['Normal'],Estado físico,
365,Sistemas Basados en Computador,2,CIC-4,2022-03-04 10:10:00+00:00,Normal,5,['Normal'],Estado anímico,
365,Sistemas Basados en Computador,2,CIC-4,2022-03-04 10:10:00+00:00,Poco práctico,3,['Poco práctico'],Temario,
365,Sistemas Basados en Computador,2,CIC-4,2022-03-04 10:10:00+00:00,Buena actitud,4,['Buena actitud'],Docente,
365,Sistemas Basados en Computador,2,CIC-4,2022-03-04 10:10:00+00:00,Demasiado calor,2,['Demasiado calor'],Ambiente,temperature
366,Sistemas Basados en Computador,2,CIC-3,2022-03-04 10:10:00+00:00,Normal,4,['Normal'],Estado físico,
366,Sistemas Basados en Computador,2,CIC-3,2022-03-04 10:10:00+00:00,Contento/a,3,['Contento/a'],Estado anímico,
366,Sistemas Basados en Computador,2,CIC-3,2022-03-04 10:10:00+00:00,Material limitado,2,['Material limitado'],Temario,
366,Sistemas Basados en Computador,2,CIC-3,2022-03-04 10:10:00+00:00,Poca cooperación,3,['Poca cooperación'],Docente,
366,Sistemas Basados en Computador,2,CIC-3,2022-03-04 10:10:00+00:00,Iluminación correcta,5,['Iluminación correcta'],Ambiente,luminosity
367,Sistemas Basados en Computador,2,3203,2022-03-04 10:10:00+00:00,Enfermo/a,2,['Enfermo/a'],Estado físico,
367,Sistemas Basados en Computador,2,3203,2022-03-04 10:10:00+00:00,Aburrido/a,1,['Aburrido/a'],Estado anímico,
367,Sistemas Basados en Computador,2,3203,2022-03-04 10:10:00+00:00,Poco práctico,3,['Poco práctico'],Temario,
367,Sistemas Basados en Computador,2,3203,2022-03-04 10:10:00+00:00,Buena organización,3,['Buena organización'],Docente,
367,Sistemas Basados en Computador,2,3203,2022-03-04 10:10:00+00:00,Ambiente denso,2,['Ambiente denso'],Ambiente,co2
368,Sistemas Basados en Computador,2,3203,2022-03-04 10:10:00+00:00,Enérgico/a,4,['Enérgico/a'],Estado físico,
368,Sistemas Basados en Computador,2,3203,2022-03-04 10:10:00+00:00,Aburrido/a,1,['Aburrido/a'],Estado anímico,
368,Sistemas Basados en Computador,2,3203,2022-03-04 10:10:00+00:00,Temario bien estructurado,4,['Temario bien estructurado'],Temario,
368,Sistemas Basados en Computador,2,3203,2022-03-04 10:10:00+00:00,Paciencia,5,['Paciencia'],Docente,
368,Sistemas Basados en Computador,2,3203,2022-03-04 10:10:00+00:00,Demasiado ruido,2,['Demasiado ruido'],Ambiente,noise
369,Sistemas Basados en Computador,2,1001,2022-03-04 10:10:00+00:00,Normal,4,['Normal'],Estado físico,
369,Sistemas Basados en Computador,2,1001,2022-03-04 10:10:00+00:00,Eufórico/a,4,['Eufórico/a'],Estado anímico,
369,Sistemas Basados en Computador,2,1001,2022-03-04 10:10:00+00:00,Material adecuado,3,['Material adecuado'],Temario,
369,Sistemas Basados en Computador,2,1001,2022-03-04 10:10:00+00:00,Paciencia,5,['Paciencia'],Docente,
369,Sistemas Basados en Computador,2,1001,2022-03-04 10:10:00+00:00,Iluminación correcta,4,['Iluminación correcta'],Ambiente,luminosity
370,Sistemas Basados en Computador,2,3302,2022-03-04 10:10:00+00:00,Con hambre o sed,2,['Con hambre o sed'],Estado físico,
370,Sistemas Basados en Computador,2,3302,2022-03-04 10:10:00+00:00,Motivado/a,3,['Motivado/a'],Estado anímico,
370,Sistemas Basados en Computador,2,3302,2022-03-04 10:10:00+00:00,Repetitivo,2,['Repetitivo'],Temario,
370,Sistemas Basados en Computador,2,3302,2022-03-04 10:10:00+00:00,Buena actitud,3,['Buena actitud'],Docente,
370,Sistemas Basados en Computador,2,3302,2022-03-04 10:10:00+00:00,Demasiado ruido,3,['Demasiado ruido'],Ambiente,noise
371,Sistemas Basados en Computador,2,3203,2022-03-04 10:10:00+00:00,Enfermo/a,1,['Enfermo/a'],Estado físico,
371,Sistemas Basados en Computador,2,3203,2022-03-04 10:10:00+00:00,Con ansiedad,2,['Con ansiedad'],Estado anímico,
371,Sistemas Basados en Computador,2,3203,2022-03-04 10:10:00+00:00,Muy práctico,5,['Muy práctico'],Temario,
371,Sistemas Basados en Computador,2,3203,2022-03-04 10:10:00+00:00,Poca creatividad,3,['Poca creatividad'],Docente,
371,Sistemas Basados en Computador,2,3203,2022-03-04 10:10:00+00:00,Ambiente denso,2,['Ambiente denso'],Ambiente,co2
372,Sistemas Basados en Computador,2,3104,2022-03-04 10:10:00+00:00,Normal,3,['Normal'],Estado físico,
372,Sistemas Basados en Computador,2,3104,2022-03-04 10:10:00+00:00,Motivado/a,4,['Motivado/a'],Estado anímico,
372,Sistemas Basados en Computador,2,3104,2022-03-04 10:10:00+00:00,Muy práctico,3,['Muy práctico'],Temario,
372,Sistemas Basados en Computador,2,3104,2022-03-04 10:10:00+00:00,Mala organización,2,['Mala organización'],Docente,
372,Sistemas Basados en Computador,2,3104,2022-03-04 10:10:00+00:00,Ambiente denso,2,['Ambiente denso'],Ambiente,co2
373,Sistemas Basados en Computador,2,3104,2022-03-04 10:10:00+00:00,Enfermo/a,1,['Enfermo/a'],Estado físico,
373,Sistemas Basados en Computador,2,3104,2022-03-04 10:10:00+00:00,Motivado/a,3,['Motivado/a'],Estado anímico,
373,Sistemas Basados en Computador,2,3104,2022-03-04 10:10:00+00:00,Poco práctico,2,['Poco práctico'],Temario,
373,Sistemas Basados en Computador,2,3104,2022-03-04 10:10:00+00:00,Poca creatividad,3,['Poca creatividad'],Docente,
373,Sistemas Basados en Computador,2,3104,2022-03-04 10:10:00+00:00,Sin ruido,5,['Sin ruido'],Ambiente,noise
374,Sistemas Basados en Computador,2,1001,2022-03-04 10:10:00+00:00,Con dolor de cabeza,1,['Con dolor de cabeza'],Estado físico,
374,Sistemas Basados en Computador,2,1001,2022-03-04 10:10:00+00:00,Con ansiedad,1,['Con ansiedad'],Estado anímico,
374,Sistemas Basados en Computador,2,1001,2022-03-04 10:10:00+00:00,Muy práctico,4,['Muy práctico'],Temario,
374,Sistemas Basados en Computador,2,1001,2022-03-04 10:10:00+00:00,Dinamismo,4,['Dinamismo'],Docente,
374,Sistemas Basados en Computador,2,1001,2022-03-04 10:10:00+00:00,Ambiente denso,3,['Ambiente denso'],Ambiente,co2
375,Sistemas Basados en Computador,2,CIC-4,2022-03-04 10:10:00+00:00,Enérgico/a,4,['Enérgico/a'],Estado físico,
375,Sistemas Basados en Computador,2,CIC-4,2022-03-04 10:10:00+00:00,Estresado/a,1,['Estresado/a'],Estado anímico,
